question_id,query,method,answer,sources,num_contexts
Q3,ما هي حقوق الأطفال على أبويهم؟,multi_hop,"المادة 54: للأطفال على أبويهم حقوق، منها حماية حياتهم وصحتهم، تثبيت هويتهم، النسب، الحضانة، النفقة، التعليم، والتوجيه الديني والتربوي السليم. المادة 213: الولاية الشرعية على القاصر تكون للأب ثم للأم الراشدة عند عدم وجود الأب أو فقد أهليته، ثم لوصي الأب، ثم للقاضي عند الاقتضاء. المادة 198: تستمر نفقة الأب على أولاده إلى حين بلوغهم سن الرشد أو إتمام الخامسة والعشرين لمن يتابع دراسته، مع استمرار النفقة على البنت إلى حين توفرها على الكسب أو زواجها.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 16 — مدونة الأسرة المغربية | ID 47 — مدونة الأسرة المغربية | ID 45 — مدونة الأسرة المغربية,3
Q3,ما هي حقوق الأطفال على أبويهم؟,graph_rag,"المادة 54: للأطفال على أبويهم حقوق، منها حماية حياتهم وصحتهم، تثبيت هويتهم، النسب، الحضانة، النفقة، التعليم، والتوجيه الديني والتربوي السليم. المادة 163: الحضانة حفظ الولد مما قد يضره، والقيام بتربيته ومصالحه، وهي واجبة على الأبوين ما دامت علاقة الزوجية قائمة. المادة 213: الولاية الشرعية على القاصر تكون للأب ثم للأم الراشدة عند عدم وجود الأب أو فقد أهليته، ثم لوصي الأب، ثم للقاضي عند الاقتضاء.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 16 — مدونة الأسرة المغربية | ID 47 — مدونة الأسرة المغربية | ID 36 — مدونة الأسرة المغربية | ID 37 — مدونة الأسرة المغربية,4
Q3,ما هي حقوق الأطفال على أبويهم؟,agentic_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q4,متى يمكن للزوجة طلب التطليق؟,baseline_no_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q4,متى يمكن للزوجة طلب التطليق؟,rag_classic,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية | ID 32 — مدونة الأسرة المغربية,3
Q4,متى يمكن للزوجة طلب التطليق؟,rag_rerank,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 102: للزوجة طلب التطليق بسبب عدم الإنفاق إذا امتنع الزوج عن أداء النفقة الواجبة ولم يثبت عجزه عنها. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 29 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية,3
Q4,متى يمكن للزوجة طلب التطليق؟,rag_hybrid,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 102: للزوجة طلب التطليق بسبب عدم الإنفاق إذا امتنع الزوج عن أداء النفقة الواجبة ولم يثبت عجزه عنها. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 29 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية,3
Q4,متى يمكن للزوجة طلب التطليق؟,multi_hop,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية | ID 32 — مدونة الأسرة المغربية,3
Q4,متى يمكن للزوجة طلب التطليق؟,graph_rag,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 102: للزوجة طلب التطليق بسبب عدم الإنفاق إذا امتنع الزوج عن أداء النفقة الواجبة ولم يثبت عجزه عنها. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 29 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية | ID 18 — مدونة الأسرة المغربية,4
Q4,متى يمكن للزوجة طلب التطليق؟,agentic_rag,"المادة 104: إذا غاب الزوج عن زوجته مدة تزيد عن سنة، أمكن للزوجة طلب التطليق للغيبة إذا تضررت من ذلك. المادة 102: للزوجة طلب التطليق بسبب عدم الإنفاق إذا امتنع الزوج عن أداء النفقة الواجبة ولم يثبت عجزه عنها. المادة 98: للزوجة طلب التطليق لأسباب منها إخلال الزوج بشرط من شروط عقد الزواج، الضرر، عدم الإنفاق، الغيبة، العيب، أو الإيلاء والهجر.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 30 — مدونة الأسرة المغربية | ID 29 — مدونة الأسرة المغربية | ID 27 — مدونة الأسرة المغربية,3
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,baseline_no_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,rag_classic,"المادة 79: يجب على من يريد الطلاق أن يطلب الإذن من المحكمة بالإشهاد به لدى عدلين منتصبين لذلك، بدائرة نفوذ المحكمة التي يوجد بها بيت الزوجية. المادة 78: الطلاق حل ميثاق الزوجية يمارسه الزوج والزوجة، كل بحسب شروطه، تحت مراقبة القضاء وطبقا لأحكام مدونة الأسرة. المادة 81: تستدعي المحكمة الزوجين لمحاولة الإصلاح، وإذا توصل الزوج شخصيا ولم يحضر اعتبر ذلك تراجعا منه عن طلب الطلاق.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 20 — مدونة الأسرة المغربية | ID 19 — مدونة الأسرة المغربية | ID 21 — مدونة الأسرة المغربية,3
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,rag_rerank,"المادة 78: الطلاق حل ميثاق الزوجية يمارسه الزوج والزوجة، كل بحسب شروطه، تحت مراقبة القضاء وطبقا لأحكام مدونة الأسرة. المادة 79: يجب على من يريد الطلاق أن يطلب الإذن من المحكمة بالإشهاد به لدى عدلين منتصبين لذلك، بدائرة نفوذ المحكمة التي يوجد بها بيت الزوجية.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 32 — مدونة الأسرة المغربية | ID 19 — مدونة الأسرة المغربية | ID 20 — مدونة الأسرة المغربية,3
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,rag_hybrid,"قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 79: يجب على من يريد الطلاق أن يطلب الإذن من المحكمة بالإشهاد به لدى عدلين منتصبين لذلك، بدائرة نفوذ المحكمة التي يوجد بها بيت الزوجية. المادة 78: الطلاق حل ميثاق الزوجية يمارسه الزوج والزوجة، كل بحسب شروطه، تحت مراقبة القضاء وطبقا لأحكام مدونة الأسرة.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 20 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 19 — مدونة الأسرة المغربية,3
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,multi_hop,"قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 79: يجب على من يريد الطلاق أن يطلب الإذن من المحكمة بالإشهاد به لدى عدلين منتصبين لذلك، بدائرة نفوذ المحكمة التي يوجد بها بيت الزوجية. المادة 78: الطلاق حل ميثاق الزوجية يمارسه الزوج والزوجة، كل بحسب شروطه، تحت مراقبة القضاء وطبقا لأحكام مدونة الأسرة.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 20 — مدونة الأسرة المغربية | ID 19 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة,3
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,graph_rag,"المادة 163: الحضانة حفظ الولد مما قد يضره، والقيام بتربيته ومصالحه، وهي واجبة على الأبوين ما دامت علاقة الزوجية قائمة. المادة 164: الحضانة من واجبات الأبوين معا، وعند انحلال ميثاق الزوجية، يعهد بها للأم ثم للأب ثم لأم الأم، مع مراعاة مصلحة المحضون. المادة 171: تخول الحضانة للأم ثم للأب ثم لأم الأم، فإن تعذر ذلك، قررت المحكمة من تراه أصلح لرعاية المحضون.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 37 — مدونة الأسرة المغربية | ID 36 — مدونة الأسرة المغربية | ID 31 — مدونة الأسرة المغربية | ID 39 — مدونة الأسرة المغربية,4
Q5,ما هي الحضانة ومن له الحق فيها بعد الطلاق؟,agentic_rag,"قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 79: يجب على من يريد الطلاق أن يطلب الإذن من المحكمة بالإشهاد به لدى عدلين منتصبين لذلك، بدائرة نفوذ المحكمة التي يوجد بها بيت الزوجية. المادة 78: الطلاق حل ميثاق الزوجية يمارسه الزوج والزوجة، كل بحسب شروطه، تحت مراقبة القضاء وطبقا لأحكام مدونة الأسرة.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 20 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 19 — مدونة الأسرة المغربية,3
